stop_id,at_street,corner_placement,heading,location_type,on_street,parent_station,stop_code,stop_desc,stop_lat,stop_lon,stop_name,stop_position,stop_timezone,stop_url,wheelchair_boarding,zone_id
6332,Philomena,NE,60,0,Mueller,,6332,004804 Mueller & Philomena,30.301239,-97.70562,4804 Mueller/Philomena,F,,https://www.capmetro.org/stopdetail/index.php?stop=6332,0,
6334,West Gate,SE,119,0,Slaughter,,6334,002793 Slaughter & West Gate,30.179113,-97.840995,3010 Slaughter/West Gate,F,,https://www.capmetro.org/stopdetail/index.php?stop=6334,0,
6335,Berkman,NW,298,0,Barbara Jordan,,6335,001716 Barbara Jordan & Berkman,30.302661,-97.700391,1716 Barbara Jordan/Berkman,F,,https://www.capmetro.org/stopdetail/index.php?stop=6335,0,
6336,Park,SE,22,0,Red River,,6336,004121 Red River & Park,30.301232,-97.72155,4121 Red River/Park,N,,https://www.capmetro.org/stopdetail/index.php?stop=6336,0,
6337,Park,NW,204,0,Red River,,6337,004202 Red River & Park,30.301618,-97.721598,4202 Red River/Park,N,,https://www.capmetro.org/stopdetail/index.php?stop=6337,0,
6338,Charles Merle,NE,16,0,Vertex,,6338,008630 Vertex & Charles Merle,30.156566,-97.752831,8630 Vertex/Charles Merle,F,,https://www.capmetro.org/stopdetail/index.php?stop=6338,0,
6339,Charles Merle,SW,176,0,Vertex,,6339,008707 Vertex & Charles Merle,30.155931,-97.753078,8707 Vertex/Cattle Baron,F,,https://www.capmetro.org/stopdetail/index.php?stop=6339,0,
634,Airport,NW,259,0,Oak Springs,,634,003200 Oak Springs & Airport,30.27361,-97.69835,3200 Oak Springs/Airport,F,,https://www.capmetro.org/stopdetail/index.php?stop=634,0,
6340,50Th,SE,3,0,Airport,,6340,004923 Airport & 50Th,30.31092,-97.715345,4923 Airport/50th,N,,https://www.capmetro.org/stopdetail/index.php?stop=6340,0,
6342,Berkman,NW,299,0,st Johns,,6342,001504 st Johns & Berkman,30.324859,-97.68969,1504 St Johns/Berkman,F,,https://www.capmetro.org/stopdetail/index.php?stop=6342,0,
