route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2024_08_12-DX-MVS-Weekday-001,1561595,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561117,"OAK Airport / Richmond",0,,003A_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561178,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561118,"OAK Airport / Richmond",0,,003B_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561119,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561062,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561120,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561063,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561121,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561064,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561122,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561065,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561123,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561066,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561124,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561067,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561125,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561068,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561126,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561069,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561127,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561070,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561128,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561071,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561129,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561072,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561130,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561073,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561131,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561074,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561132,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561075,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561133,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561076,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561134,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561077,"OAK Airport / Richmond",0,,003C_shp,,0,0
